code,name,country,latitude,longitude
SFO,San Francisco International Airport,United States,37.6219,-122.379
PHX,Phoenix Sky Harbor International Airport,United States,33.4342,-112.008
LAX,Los Angeles International Airport,United States,33.9416,-118.4085
ANC,Anchorage Ted Stevens Anchorage International Airport,United States,61.1744,-149.9962
LAS,McCarran International Airport,United States,36.084,-115.1537
SLC,Salt Lake City International Airport,United States,40.7884,-111.9778
DEN,Denver International Airport,United States,39.8561,-104.6737
ONT,Ontario International Airport,United States,34.056,-117.6012
FAI,Fairbanks International Airport,United States,64.8161,-147.856
BQN,Rafael Hernández Airport,Puerto Rico,18.4949,-67.1294
PSE,Mercedita Airport,Puerto Rico,18.011,-66.563
HNL,Daniel K. Inouye International Airport,United States,21.3187,-157.9224
BIS,Bismarck Municipal Airport,United States,46.7741,-100.7467
IYK,Inyokern Airport,United States,35.6589,-117.8294
EWR,Newark Liberty International Airport,United States,40.6895,-74.1745
BOS,Logan International Airport,United States,42.3651,-71.0101
MKE,General Mitchell International Airport,United States,42.9472,-87.8966
GFK,Grand Forks International Airport,United States,47.9493,-97.1761
OMA,Eppley Airfield,United States,41.3032,-95.8942
GSO,Piedmont Triad International Airport,United States,36.0978,-79.9373
LMT,Klamath Falls Airport,United States,42.1561,-121.7336
SEA,Seattle-Tacoma International Airport,United States,47.4489,-122.3094
MCO,Orlando International Airport,United States,28.4294,-81.3089
TPA,Tampa International Airport,United States,27.9756,-82.5333
DLH,Duluth International Airport,United States,46.8421,-92.1941
MSP,Minneapolis–Saint Paul International Airport,United States,44.8848,-93.223
FAR,Hector International Airport,United States,46.9195,-96.8141
MFE,McAllen International Airport,United States,26.1817,-98.2386
MSY,Louis Armstrong New Orleans International Airport,United States,29.9934,-90.258
VPS,Northwest Florida Regional Airport,United States,30.4833,-86.5254
BWI,Baltimore/Washington International Thurgood Marshall Airport,United States,39.1754,-76.6682
MAF,Midland International Air and Space Port,United States,31.9375,-102.208
LWS,Lewiston-Nez Perce County Airport,United States,46.3745,-117.0154
RST,Rochester International Airport,United States,43.9083,-92.5
ALB,Albany International Airport,United States,42.7481,-73.802
DSM,Des Moines International Airport,United States,41.534,-93.6584
CHS,Charleston International Airport,United States,32.8986,-80.0406
MSN,Dane County Regional Airport,United States,43.1399,-89.3375
JAX,Jacksonville International Airport,United States,30.4941,-81.6879
SAT,San Antonio International Airport,United States,29.5337,-98.4698
PNS,Pensacola International Airport,United States,30.4733,-87.1866
BHM,Birmingham-Shuttlesworth International Airport,United States,33.5629,-86.745
LIT,Little Rock National Airport,United States,34.7294,-92.2244
SAV,Savannah/Hilton Head International Airport,United States,32.1276,-81.202
BNA,Nashville International Airport,United States,36.1245,-86.6782
ICT,Wichita Dwight D. Eisenhower National Airport,United States,37.6499,-97.4331
ECP,Northwest Florida Beaches International Airport,United States,30.3584,-85.7964
DHN,Dothan Regional Airport,United States,31.3184,-85.4483
MGM,Montgomery Regional Airport,United States,32.3006,-86.3939
CAE,Columbia Metropolitan Airport,United States,33.9387,-81.1196
PWM,Portland International Jetport,United States,43.6462,-70.3093
ACV,Arcata-Eureka Airport,United States,40.9781,-124.1086
EKO,Elko Regional Airport,United States,40.825,-115.792
PHL,Philadelphia International Airport,United States,39.8744,-75.2437
ATL,Hartsfield-Jackson Atlanta International Airport,United States,33.6407,-84.4277
PDX,Portland International Airport,United States,45.5898,-122.5951
RIC,Richmond International Airport,United States,37.5068,-77.3197
BTR,Baton Rouge Metropolitan Airport,United States,30.533,-91.1496
HRL,Valley International Airport,United States,26.2285,-97.6544
MYR,Myrtle Beach International Airport,United States,33.6798,-78.9283
TUS,Tucson International Airport,United States,32.1161,-110.941
SBN,South Bend International Airport,United States,41.7086,-86.3172
CAK,Akron-Canton Airport,United States,40.9152,-81.4423
TVC,Cherry Capital Airport,United States,44.7414,-85.5822
CLE,Cleveland Hopkins International Airport,United States,41.4117,-81.8498
ORD,O'Hare International Airport,United States,41.9742,-87.9073
DAY,Dayton International Airport,United States,39.9024,-84.2194
MFR,Rogue Valley International-Medford Airport,United States,42.3691,-122.873
BTV,Burlington International Airport,United States,44.469,-73.1534
TLH,Tallahassee International Airport,United States,30.3951,-84.3469
TYS,McGhee Tyson Airport,United States,35.8122,-83.992
DFW,Dallas/Fort Worth International Airport,United States,32.8998,-97.0403
FLL,Fort Lauderdale-Hollywood International Airport,United States,26.0726,-80.1528
AUS,Austin-Bergstrom International Airport,United States,30.1975,-97.6664
CHA,Chattanooga Metropolitan Airport,United States,35.0379,-85.1978
CMH,John Glenn Columbus International Airport,United States,39.998,-82.8919
LRD,Laredo International Airport,United States,27.5438,-99.4616
BRO,Brownsville South Padre Island International Airport,United States,25.9064,-97.4259
CRP,Corpus Christi International Airport,United States,27.7742,-97.5028
LAN,Capital Region International Airport,United States,42.7787,-84.5874
PVD,T. F. Green Airport,United States,41.7269,-71.4312
FWA,Fort Wayne International Airport,United States,40.9784,-85.1951
JFK,John F. Kennedy International Airport,United States,40.6413,-73.7781
LGA,LaGuardia Airport,United States,40.7769,-73.874
OKC,Will Rogers World Airport,United States,35.3931,-97.6007
PIT,Pittsburgh International Airport,United States,40.4915,-80.2329
PBI,Palm Beach International Airport,United States,26.6832,-80.0956
ORF,Norfolk International Airport,United States,36.8986,-76.2044
DCA,Ronald Reagan Washington National Airport,United States,38.8512,-77.0402
AEX,Alexandria International Airport,United States,31.3274,-92.5486
SYR,Syracuse Hancock International Airport,United States,43.1131,-76.1063
SHV,Shreveport Regional Airport,United States,32.4466,-93.8256
VLD,Valdosta Regional Airport,United States,30.7825,-83.2767
BDL,Bradley International Airport,United States,41.9389,-72.6832
FAT,Fresno Yosemite International Airport,United States,36.7762,-119.7181
BZN,Bozeman Yellowstone International Airport,United States,45.7775,-111.152
RDM,Redmond Municipal Airport,United States,44.2541,-121.15
LFT,Lafayette Regional Airport,United States,30.2053,-91.9876
IPL,Imperial County Airport,United States,32.8342,-115.579
EAU,Chippewa Valley Regional Airport,United States,44.8658,-91.4843
ERI,Erie International Airport,United States,42.0836,-80.1739
BUF,Buffalo Niagara International Airport,United States,42.9405,-78.7322
IAH,George Bush Intercontinental Airport,United States,29.9875,-95.3397
MCI,Kansas City International Airport,United States,39.2976,-94.7139
AGS,Augusta Regional Airport,United States,33.3699,-81.9645
ABI,Abilene Regional Airport,United States,32.4113,-99.6819
GRR,Gerald R. Ford International Airport,United States,42.8822,-85.5239
LBB,Lubbock Preston Smith International Airport,United States,33.6636,-101.8228
CLT,Charlotte Douglas International Airport,United States,35.214,-80.9431
